game,game_id,model,benchmark_version,experiment,episode,Aborted,Lose,Success,chat,target,player
taboo,11,gpt-4-1106-preview-t0.0--gpt-4-1106-preview-t0.0,v1.0,0_high_en,episode_11,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\ntea\n\nRelated words are:\n\n- feast\n- table\n- gulp\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: A hot beverage often served with milk or lemon, originating from Asia, and associated with British culture.'}]",tea,player 1
taboo,14,gpt-3.5-turbo-0613-t0.0--gpt-3.5-turbo-0613-t0.0,v1.0,2_low_en,episode_14,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: A state of constant change or movement.'}, {'role': 'assistant', 'content': 'GUESS: Flux'}]",flux,player 2
taboo,6,gpt-4-t0.0--gpt-4-t0.0,v0.9,1_medium_en,episode_6,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nbull\n\nRelated words are:\n\n- fiat\n- diktat\n- directive\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: A male bovine animal.'}]",bull,player 1
taboo,11,gpt-3.5-turbo-1106-t0.0--gpt-3.5-turbo-1106-t0.0,v1.0,0_high_en,episode_11,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\ntea\n\nRelated words are:\n\n- feast\n- table\n- gulp\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: Hot beverage often enjoyed with milk and sugar. Guesses from the other player will start with GUESS.'}]",tea,player 1
taboo,13,claude-v1.3-t0.0--claude-v1.3-t0.0,v0.9,1_medium_en,episode_13,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nbiology\n\nRelated words are:\n\n- organisms\n- plant\n- life\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: The scientific study of living things.'}]",biology,player 1
taboo,10,gpt-4-t0.0--gpt-4-t0.0,v0.9,0_high_en,episode_10,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: A person who applies for a job or position'}, {'role': 'assistant', 'content': 'GUESS: Applicant'}]",applicant,player 2
taboo,6,claude-2.1-t0.0--claude-2.1-t0.0,v1.0,0_high_en,episode_6,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nfuture\n\nRelated words are:\n\n- hereafter\n- fortune\n- offing\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: What lies ahead. Guesses from the other player will start with GUESS.'}]",future,player 1
taboo,9,gpt-4-0613-t0.0--gpt-4-0613-t0.0,v1.0,2_low_en,episode_9,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: The action of reversing or cancelling a previous action or command in a computer program.'}, {'role': 'assistant', 'content': 'GUESS: Undo'}]",undo,player 2
taboo,9,gpt-4-0314-t0.0--gpt-4-0314-t0.0,v1.0,2_low_en,episode_9,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nundo\n\nRelated words are:\n\n- unbind\n- unsettle\n- unhinge\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: To reverse or cancel an action.'}]",undo,player 1
taboo,4,gpt-4-t0.0--gpt-3.5-turbo-t0.0,v0.9,0_high_en,episode_4,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: More than a few but not countless'}, {'role': 'assistant', 'content': 'GUESS: Several'}]",several,player 2
